Year,SERIES,តំបន់យោង,កំរិតនគរូបនីយកម្ម,កម្រិត​ការ​អប់រំ,UNIT_MEASURE,GeoCode,Value
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,1.0
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,1.0
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,1.1
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,1.16
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,1.22
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,តាកែវ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH21,1.32
2014,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ត្បូងឃ្មុំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH25,1.1
2015,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ត្បូងឃ្មុំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH25,1.2
2016,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ត្បូងឃ្មុំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH25,1.29
2017,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ត្បូងឃ្មុំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH25,1.35
2018,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ត្បូងឃ្មុំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH25,1.34
2019,៤.៥.២ សន្ទស្សន៍យុគភាព យេនឌ័រនៃអត្រារួមនៃការសិក្សានៅមធ្យមសិក្សាទុតិយភូមិ,ត្បូងឃ្មុំ,,មធ្យមសិក្សាទុតិយភូមិ,ភាគរយ,KH25,1.51
